Item,Farbe,Itemtype,Condition
Schaf,weiss,filler,filler
Kette,gold,filler,filler
Reifen,schwarz,context,context
Herz,rot,target,nofoc
Brief,weiss,context,context
Zahn,weiss,target,foc
Ring,gold,context,context
Krone,gold,target,foc
Tisch,braun,context,context
Raupe,gruen,target,nofoc
Kirsche,rot,context,context
Nuss,braun,target,nofoc
Gespenst,weiss,context,context
Panther,schwarz,target,nofoc
Monster,gruen,context,context
Salat,gruen,target,foc
Krone,gold,context,context
Mund,rot,target,nofoc
Holz,braun,context,context
Tisch,braun,target,foc
Reifen,schwarz,context,context
Anzug,schwarz,target,foc
Raupe,gruen,context,context
Münze,gold,target,nofoc
Geige,braun,context,context
Iglu,weiss,target,nofoc
Tomate,rot,context,context
Herz,rot,target,foc
Salat,gruen,context,context
Holz,braun,target,nofoc
Anzug,schwarz,context,context
Klavier,schwarz,target,foc
Raupe,gruen,context,context
Kaktus,gruen,target,foc
Zahn,weiss,context,context
Pokal,gold,target,nofoc
Iglu,weiss,context,context
Tomate,rot,target,nofoc
Holz,braun,context,context
Ring,gold,target,nofoc
Salat,gruen,context,context
Raupe,gruen,target,foc
Panther,schwarz,context,context
Brief,weiss,target,nofoc
Herz,rot,context,context
Kirsche,rot,target,foc
Nuss,braun,context,context
Geige,braun,target,foc
Kaktus,gruen,context,context
Monster,gruen,target,foc
