Item,Farbe,Itemtype,Condition
Blut,rot,filler,filler
Erbse,gruen,filler,filler
Pokal,gold,context,context
Geige,braun,target,nofoc
Monster,gruen,context,context
Salat,gruen,target,foc
Anzug,schwarz,context,context
Klavier,schwarz,target,foc
Tomate,rot,context,context
Zahn,weiss,target,nofoc
Ring,gold,context,context
Krone,gold,target,foc
Reifen,schwarz,context,context
Herz,rot,target,nofoc
Brief,weiss,context,context
Monster,gruen,target,nofoc
Iglu,weiss,context,context
Tomate,rot,target,nofoc
Holz,braun,context,context
Tisch,braun,target,foc
Krone,gold,context,context
Mund,rot,target,nofoc
Panther,schwarz,context,context
Brief,weiss,target,nofoc
Raupe,gruen,context,context
Kaktus,gruen,target,foc
Geige,braun,context,context
Holz,braun,target,foc
Münze,gold,context,context
Pokal,gold,target,foc
Monster,gruen,context,context
Kirsche,rot,target,nofoc
Gespenst,weiss,context,context
Panther,schwarz,target,nofoc
Tisch,braun,context,context
Nuss,braun,target,foc
Münze,gold,context,context
Anzug,schwarz,target,nofoc
Salat,gruen,context,context
Raupe,gruen,target,foc
Zahn,weiss,context,context
Gespenst,weiss,target,foc
Kaktus,gruen,context,context
Reifen,schwarz,target,nofoc
Holz,braun,context,context
Ring,gold,target,nofoc
Geige,braun,context,context
Iglu,weiss,target,nofoc
Krone,gold,context,context
Münze,gold,target,foc
