Item,Farbe,Itemtype,Condition
Erbse,gruen,filler,filler
Blut,rot,filler,filler
Iglu,weiss,context,context
Brief,weiss,target,foc
Krone,gold,context,context
Münze,gold,target,foc
Nuss,braun,context,context
Klavier,schwarz,target,nofoc
Monster,gruen,context,context
Kirsche,rot,target,nofoc
Geige,braun,context,context
Holz,braun,target,foc
Panther,schwarz,context,context
Reifen,schwarz,target,foc
Zahn,weiss,context,context
Gespenst,weiss,target,foc
Anzug,schwarz,context,context
Kaktus,gruen,target,nofoc
Mund,rot,context,context
Krone,gold,target,nofoc
Tomate,rot,context,context
Zahn,weiss,target,nofoc
Tisch,braun,context,context
Nuss,braun,target,foc
Münze,gold,context,context
Pokal,gold,target,foc
Herz,rot,context,context
Salat,gruen,target,nofoc
Klavier,schwarz,context,context
Panther,schwarz,target,foc
Gespenst,weiss,context,context
Iglu,weiss,target,foc
Pokal,gold,context,context
Geige,braun,target,nofoc
Kirsche,rot,context,context
Mund,rot,target,foc
Brief,weiss,context,context
Monster,gruen,target,nofoc
Klavier,schwarz,context,context
Tisch,braun,target,nofoc
Ring,gold,context,context
Gespenst,weiss,target,nofoc
Mund,rot,context,context
Tomate,rot,target,foc
Münze,gold,context,context
Anzug,schwarz,target,nofoc
Kaktus,gruen,context,context
Reifen,schwarz,target,nofoc
Pokal,gold,context,context
Ring,gold,target,foc
