setup_pic,setup_obj,setup_col,target_pic,target_obj,target_col,condition
Koffer_schwarz.png,Koffer,schwarz,Schaf_weiss.png,Schaf,weiss,filler
Tisch_braun.png,Tisch,braun,Nuss_braun.png,Nuss,braun,foc
Muenze_gold.png,Münze,gold,Anzug_schwarz.png,Anzug,schwarz,nofoc
Salat_gruen.png,Salat,gruen,Raupe_gruen.png,Raupe,gruen,foc
Zahn_weiss.png,Zahn,weiss,Gespenst_weiss.png,Gespenst,weiss,foc
Kaktus_gruen.png,Kaktus,gruen,Reifen_schwarz_neu.png,Reifen,schwarz,nofoc
Holz_braun.png,Holz,braun,Ring_gold.png,Ring,gold,nofoc
Geige_braun.png,Geige,braun,Iglu_weiss.png,Iglu,weiss,nofoc
Krone_gold.png,Krone,gold,Muenze_gold.png,Münze,gold,foc
Herz_rot.png,Herz,rot,Salat_gruen.png,Salat,gruen,nofoc
Ring_gold.png,Ring,gold,Gespenst_weiss.png,Gespenst,weiss,nofoc
Reifen_schwarz_neu.png,Reifen,schwarz,Anzug_schwarz.png,Anzug,schwarz,foc
Mund_rot.png,Mund,rot,Krone_gold.png,Krone,gold,nofoc
Nuss_braun.png,Nuss,braun,Geige_braun.png,Geige,braun,foc
Herz_rot.png,Herz,rot,Kirsche_rot.png,Kirsche,rot,foc
Panther_schwarz.png,Panther,schwarz,Reifen_schwarz_neu.png,Reifen,schwarz,foc
Zahn_weiss.png,Zahn,weiss,Pokal_gold.png,Pokal,gold,nofoc
