Item,Farbe,Itemtype,Condition
Koffer,schwarz,filler,filler
Schaf,weiss,filler,filler
Kirsche,rot,context,context
Mund,rot,target,foc
Salat,gruen,context,context
Holz,braun,target,nofoc
Panther,schwarz,context,context
Reifen,schwarz,target,foc
Münze,gold,context,context
Pokal,gold,target,foc
Brief,weiss,context,context
Monster,gruen,target,nofoc
Tisch,braun,context,context
Nuss,braun,target,foc
Gespenst,weiss,context,context
Iglu,weiss,target,foc
Ring,gold,context,context
Krone,gold,target,foc
Anzug,schwarz,context,context
Kaktus,gruen,target,nofoc
Tomate,rot,context,context
Herz,rot,target,foc
Nuss,braun,context,context
Klavier,schwarz,target,nofoc
Ring,gold,context,context
Gespenst,weiss,target,nofoc
Holz,braun,context,context
Tisch,braun,target,foc
Krone,gold,context,context
Münze,gold,target,foc
Tomate,rot,context,context
Zahn,weiss,target,nofoc
Herz,rot,context,context
Salat,gruen,target,nofoc
Gespenst,weiss,context,context
Panther,schwarz,target,nofoc
Nuss,braun,context,context
Geige,braun,target,foc
Reifen,schwarz,context,context
Anzug,schwarz,target,foc
Monster,gruen,context,context
Kirsche,rot,target,nofoc
Zahn,weiss,context,context
Gespenst,weiss,target,foc
Holz,braun,context,context
Ring,gold,target,nofoc
Salat,gruen,context,context
Raupe,gruen,target,foc
Iglu,weiss,context,context
Tomate,rot,target,nofoc
